campaign	category	step	mean_loss	mean_auc	mean_anlp	x	embedding_dim	batch_size	state_size	lr	anlp_lr	l2_norm	alpha	beta
2997	TRAIN	12400	0.245494	0.9553	1.1622	0.5270	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	12500	0.207833	0.9654	1.0357	0.4565	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	12600	0.201894	0.9704	1.0239	0.4470	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	12700	0.191218	0.9667	1.0397	0.4374	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	12800	0.184950	0.9657	1.0261	0.4272	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	12900	0.223253	0.9635	1.0441	0.4767	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	13000	0.207581	0.9599	1.0525	0.4596	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	13100	0.209304	0.9625	1.0142	0.4540	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	13200	0.189524	0.9697	0.9530	0.4180	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	13300	0.186797	0.9672	0.9286	0.4099	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	13400	0.182291	0.9702	0.9764	0.4140	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	13500	0.201719	0.9639	1.0225	0.4466	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	13600	0.224366	0.9584	1.0410	0.4774	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	13700	0.196078	0.9646	0.9610	0.4275	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	13800	0.189235	0.9708	0.9247	0.4120	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	13900	0.180867	0.9711	0.9285	0.4027	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	14000	0.183873	0.9700	0.9544	0.4115	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	14100	0.202025	0.9629	0.9944	0.4413	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	14200	0.212269	0.9596	0.9950	0.4537	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	14300	0.200168	0.9657	0.9673	0.4337	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	14400	0.197381	0.9705	0.9257	0.4220	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	14500	0.176245	0.9709	0.9054	0.3926	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	14600	0.184124	0.9740	0.9144	0.4038	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	14700	0.203004	0.9667	0.9568	0.4350	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	14800	0.197065	0.9663	0.9557	0.4276	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	14900	0.232827	0.9589	1.0339	0.4862	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	15000	0.180956	0.9718	0.8393	0.3850	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TEST	15000	0.435381	0.8962	8.1923	2.1609	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	15100	0.154237	0.9732	0.8770	0.3605	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	15200	0.181322	0.9705	0.9011	0.3978	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	15300	0.186519	0.9702	0.9445	0.4127	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	15400	0.196729	0.9657	0.9345	0.4230	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	15500	0.223923	0.9619	1.0035	0.4694	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	15600	0.184412	0.9722	0.8577	0.3928	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	15700	0.178673	0.9729	0.8680	0.3880	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	15800	0.182928	0.9709	0.8543	0.3904	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	15900	0.186325	0.9693	0.8920	0.4020	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	16000	0.203189	0.9674	0.9350	0.4308	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	16100	0.207326	0.9601	0.9623	0.4412	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	16200	0.198229	0.9710	0.9272	0.4233	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	16300	0.160867	0.9725	0.7944	0.3519	32	128	128	0.001000	0.001000	0.001	1.2	0.2
